side,maxW,seed,n,wmin,bsafe,first_err,err_count,non_monotonic
3,10,0,9,1,11,12,9,1
3,10,1,9,1,4,5,22,1
3,10,2,9,1,9,10,14,1
3,10,3,9,1,9,10,15,1
3,10,4,9,1,2,3,27,1
3,10,5,9,1,7,8,11,1
3,10,6,9,1,22,23,8,0
3,10,7,9,1,4,5,18,1
3,10,8,9,1,20,21,10,0
3,10,9,9,1,13,14,17,0
3,50,0,9,2,37,38,53,1
3,50,1,9,2,13,14,112,1
3,50,2,9,1,42,43,70,1
3,50,3,9,2,45,46,73,1
3,50,4,9,1,4,5,136,1
3,50,5,9,4,34,35,107,1
3,50,6,9,1,50,51,51,1
3,50,7,9,2,22,23,88,1
3,50,8,9,2,89,90,61,0
3,50,9,9,1,60,61,90,0
3,100,0,9,4,73,74,108,1
3,100,1,9,3,20,21,229,1
3,100,2,9,1,82,83,143,1
3,100,3,9,4,89,90,147,1
3,100,4,9,2,14,15,264,1
3,100,5,9,7,67,68,215,1
3,100,6,9,1,101,102,101,1
3,100,7,9,3,44,45,177,1
3,100,8,9,3,177,178,123,0
3,100,9,9,2,120,121,180,0
4,10,0,16,1,7,8,11,1
4,10,1,16,1,9,10,21,0
4,10,2,16,1,11,12,16,1
4,10,3,16,1,9,10,21,0
4,10,4,16,1,4,5,23,1
4,10,5,16,1,3,4,27,0
4,10,6,16,1,8,9,22,0
4,10,7,16,1,5,6,24,1
4,10,8,16,1,12,13,18,0
4,10,9,16,1,8,9,20,1
4,50,0,16,2,27,28,55,1
4,50,1,16,1,28,29,109,1
4,50,2,16,1,29,30,93,1
4,50,3,16,2,38,39,109,1
4,50,4,16,1,25,26,107,1
4,50,5,16,2,16,17,128,1
4,50,6,16,1,25,26,113,1
4,50,7,16,2,8,9,141,1
4,50,8,16,2,40,41,91,1
4,50,9,16,1,28,29,108,1
4,100,0,16,4,44,45,110,1
4,100,1,16,2,56,57,218,1
4,100,2,16,1,58,59,185,1
4,100,3,16,4,76,77,217,1
4,100,4,16,2,50,51,216,1
4,100,5,16,4,32,33,254,1
4,100,6,16,1,50,51,226,1
4,100,7,16,3,15,16,284,1
4,100,8,16,3,17,18,257,1
4,100,9,16,2,55,56,217,1
5,10,0,25,1,7,8,21,1
5,10,1,25,1,2,3,26,1
5,10,2,25,1,3,4,25,1
5,10,3,25,1,5,6,24,1
5,10,4,25,1,3,4,26,1
5,10,5,25,1,6,7,24,0
5,10,6,25,1,2,3,27,1
5,10,7,25,1,4,5,25,1
5,10,8,25,1,5,6,25,0
5,10,9,25,1,5,6,25,0
5,50,0,25,2,11,12,119,1
5,50,1,25,1,18,19,121,1
5,50,2,25,1,11,12,119,1
5,50,3,25,2,26,27,119,1
5,50,4,25,1,15,16,128,1
5,50,5,25,1,11,12,116,1
5,50,6,25,1,20,21,124,1
5,50,7,25,1,12,13,128,1
5,50,8,25,2,15,16,129,1
5,50,9,25,1,15,16,128,1
5,100,0,25,4,21,22,239,1
5,100,1,25,2,20,21,240,1
5,100,2,25,1,27,28,226,1
5,100,3,25,4,52,53,237,1
5,100,4,25,2,23,24,258,1
5,100,5,25,2,21,22,232,1
5,100,6,25,1,40,41,248,1
5,100,7,25,2,25,26,255,1
5,100,8,25,3,31,32,253,1
5,100,9,25,2,30,31,256,1
6,10,0,36,1,5,6,24,1
6,10,1,36,1,6,7,23,1
6,10,2,36,1,3,4,27,0
6,10,3,36,1,5,6,24,1
6,10,4,36,1,6,7,24,0
6,10,5,36,1,3,4,27,0
6,10,6,36,1,3,4,27,0
6,10,7,36,1,6,7,24,0
6,10,8,36,1,5,6,23,1
6,10,9,36,1,5,6,25,0
6,50,0,36,2,16,17,121,1
6,50,1,36,1,14,15,121,1
6,50,2,36,1,10,11,136,1
6,50,3,36,1,25,26,119,1
6,50,4,36,1,8,9,137,1
6,50,5,36,1,12,13,133,1
6,50,6,36,1,16,17,130,1
6,50,7,36,1,14,15,129,1
6,50,8,36,2,19,20,125,1
6,50,9,36,1,9,10,129,1
6,100,0,36,4,36,37,243,1
6,100,1,36,1,19,20,252,1
6,100,2,36,1,22,23,271,1
6,100,3,36,1,22,23,259,1
6,100,4,36,1,15,16,277,1
6,100,5,36,2,13,14,272,1
6,100,6,36,1,28,29,263,1
6,100,7,36,2,20,21,260,1
6,100,8,36,3,35,36,248,1
6,100,9,36,2,23,24,264,1
7,10,0,49,1,8,9,21,1
7,10,1,49,1,3,4,27,0
7,10,2,49,1,5,6,25,0
7,10,3,49,1,2,3,25,1
7,10,4,49,1,4,5,25,1
7,10,5,49,1,4,5,25,1
7,10,6,49,1,3,4,27,0
7,10,7,49,1,5,6,24,1
7,10,8,49,1,4,5,26,0
7,10,9,49,1,4,5,26,0
7,50,0,49,1,16,17,124,1
7,50,1,49,1,13,14,134,1
7,50,2,49,1,19,20,126,1
7,50,3,49,1,11,12,120,1
7,50,4,49,1,10,11,135,1
7,50,5,49,1,9,10,131,1
7,50,6,49,1,3,4,142,1
7,50,7,49,1,19,20,128,1
7,50,8,49,1,18,19,125,1
7,50,9,49,1,19,20,127,1
7,100,0,49,1,30,31,246,1
7,100,1,49,1,26,27,267,1
7,100,2,49,1,37,38,251,1
7,100,3,49,1,20,21,244,1
7,100,4,49,1,25,26,264,1
7,100,5,49,2,20,21,259,1
7,100,6,49,1,11,12,278,1
7,100,7,49,2,31,32,257,1
7,100,8,49,1,28,29,252,1
7,100,9,49,2,39,40,256,1
8,10,0,64,1,5,6,25,0
8,10,1,64,1,4,5,25,1
8,10,2,64,1,3,4,26,1
8,10,3,64,1,2,3,26,1
8,10,4,64,1,3,4,27,0
8,10,5,64,1,5,6,25,0
8,10,6,64,1,4,5,25,1
8,10,7,64,1,3,4,27,0
8,10,8,64,1,4,5,26,0
8,10,9,64,1,2,3,26,1
8,50,0,64,1,14,15,133,1
8,50,1,64,1,16,17,128,1
8,50,2,64,1,17,18,128,1
8,50,3,64,1,13,14,133,1
8,50,4,64,1,7,8,139,1
8,50,5,64,1,20,21,129,1
8,50,6,64,1,20,21,127,1
8,50,7,64,1,11,12,137,1
8,50,8,64,1,13,14,134,1
8,50,9,64,1,11,12,133,1
8,100,0,64,1,23,24,270,1
8,100,1,64,1,18,19,263,1
8,100,2,64,1,32,33,259,1
8,100,3,64,1,17,18,272,1
8,100,4,64,1,16,17,274,1
8,100,5,64,2,36,37,260,1
8,100,6,64,1,31,32,256,1
8,100,7,64,2,19,20,272,1
8,100,8,64,1,20,21,270,1
8,100,9,64,2,29,30,260,1
10,10,0,100,1,4,5,26,0
10,10,1,100,1,4,5,26,0
10,10,2,100,1,4,5,26,0
10,10,3,100,1,4,5,26,0
10,10,4,100,1,3,4,27,0
10,10,5,100,1,2,3,28,0
10,10,6,100,1,3,4,27,0
10,10,7,100,1,3,4,27,0
10,10,8,100,1,4,5,26,0
10,10,9,100,1,4,5,26,0
10,50,0,100,1,16,17,130,1
10,50,1,100,1,5,6,141,1
10,50,2,100,1,5,6,140,1
10,50,3,100,1,12,13,134,1
10,50,4,100,1,13,14,135,1
10,50,5,100,1,8,9,138,1
10,50,6,100,1,12,13,136,1
10,50,7,100,1,7,8,142,1
10,50,8,100,1,16,17,132,1
10,50,9,100,1,12,13,135,1
10,100,0,100,1,24,25,265,1
10,100,1,100,1,9,10,278,1
10,100,2,100,1,6,7,286,1
10,100,3,100,1,20,21,271,1
10,100,4,100,1,24,25,272,1
10,100,5,100,1,11,12,289,0
10,100,6,100,1,18,19,274,1
10,100,7,100,1,20,21,276,1
10,100,8,100,1,23,24,268,1
10,100,9,100,1,21,22,270,1
12,10,0,144,1,2,3,28,0
12,10,1,144,1,3,4,27,0
12,10,2,144,1,3,4,27,0
12,10,3,144,1,3,4,27,0
12,10,4,144,1,2,3,28,0
12,10,5,144,1,2,3,28,0
12,10,6,144,1,2,3,27,1
12,10,7,144,1,4,5,26,0
12,10,8,144,1,3,4,27,0
12,10,9,144,1,3,4,26,1
12,50,0,144,1,8,9,140,1
12,50,1,144,1,8,9,139,1
12,50,2,144,1,8,9,141,1
12,50,3,144,1,9,10,140,1
12,50,4,144,1,5,6,143,1
12,50,5,144,1,9,10,137,1
12,50,6,144,1,10,11,137,1
12,50,7,144,1,8,9,141,1
12,50,8,144,1,5,6,143,1
12,50,9,144,1,4,5,143,1
12,100,0,144,1,18,19,272,1
12,100,1,144,1,20,21,274,1
12,100,2,144,1,17,18,279,1
12,100,3,144,1,17,18,278,1
12,100,4,144,1,8,9,286,1
12,100,5,144,1,20,21,272,1
12,100,6,144,1,22,23,273,1
12,100,7,144,1,9,10,285,1
12,100,8,144,1,10,11,281,1
12,100,9,144,1,12,13,283,1
15,10,0,225,1,3,4,27,0
15,10,1,225,1,2,3,28,0
15,10,2,225,1,2,3,28,0
15,10,3,225,1,3,4,27,0
15,10,4,225,1,2,3,28,0
15,10,5,225,1,3,4,27,0
15,10,6,225,1,2,3,28,0
15,10,7,225,1,3,4,27,0
15,10,8,225,1,3,4,27,0
15,10,9,225,1,4,5,26,0
15,50,0,225,1,6,7,143,1
15,50,1,225,1,5,6,145,0
15,50,2,225,1,5,6,142,1
15,50,3,225,1,6,7,139,1
15,50,4,225,1,8,9,141,1
15,50,5,225,1,8,9,140,1
15,50,6,225,1,7,8,142,1
15,50,7,225,1,5,6,143,1
15,50,8,225,1,9,10,140,1
15,50,9,225,1,17,18,133,0
15,100,0,225,1,12,13,284,1
15,100,1,225,1,8,9,290,1
15,100,2,225,1,7,8,286,1
15,100,3,225,1,12,13,281,1
15,100,4,225,1,13,14,279,1
15,100,5,225,1,10,11,283,1
15,100,6,225,1,8,9,290,1
15,100,7,225,1,12,13,287,1
15,100,8,225,1,21,22,276,1
15,100,9,225,1,30,31,264,1
